time,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,2m_temperature,surface_solar_radiation_downwards,evaporation,specific_humidity,level,LAI
2012-12-30,0.00020847679527142857,0.4051181485714285,0.39213604999999996,275.11999000000003,314973.4542857143,-2.5802222857142857e-05,0.003765990114285714,1000.0,0.753947
2013-01-06,3.6583834411428575e-05,0.3763348257142857,0.3739680828571429,273.1737857142857,407025.9885714286,-2.4512870571428574e-05,0.0030694270714285714,1000.0,0.7447002
2013-01-13,3.704616248857143e-05,0.3783061242857143,0.37353673142857147,273.6466828571429,423041.48714285716,-2.5632206e-05,0.0032969696857142856,1000.0,0.7551126
2013-01-20,4.566668138571429e-08,0.35200783714285716,0.3570859985714286,273.79288142857143,508931.9114285714,-2.8088981e-05,0.0028218503285714286,1000.0,0.7815313
2013-01-27,7.529842219355714e-05,0.3537609228571429,0.34778894714285713,279.41265000000004,383081.3185714286,-2.6159495857142857e-05,0.004597309742857143,1000.0,0.81812406
2013-02-03,1.2127967998714285e-06,0.34768512,0.34887897714285715,278.31745714285717,521307.2642857143,-3.159836442857143e-05,0.004156616128571429,1000.0,0.8629241
2013-02-10,3.00553676507e-05,0.3261287842857143,0.3338933157142857,277.45354714285713,553814.9985714286,-3.5342719714285715e-05,0.0038395635,1000.0,0.9165764
2013-02-24,6.155370180858572e-05,0.29159032714285715,0.30470090999999994,277.4193585714286,644775.1185714286,-3.974534357142857e-05,0.003284369328571429,1000.0,0.9764161
2013-03-03,1.4205299368157141e-05,0.2679338328571429,0.29351936714285715,281.28108000000003,712073.6357142858,-4.2407724285714286e-05,0.003702712857142857,1000.0,1.0224513
2013-03-10,0.00010073111726498572,0.2797585814285714,0.2922948357142857,280.25204285714284,684485.6928571428,-4.516920357142857e-05,0.0041841535,1000.0,1.0742824
2013-03-17,5.425785714285714e-10,0.26083069714285717,0.2924633314285714,285.1046042857143,848710.9128571429,-5.4666069e-05,0.004521742471428572,1000.0,1.1253028
2013-03-24,5.564045238571428e-05,0.25008815142857144,0.2892241071428572,283.12543571428574,838734.8128571428,-4.933697857142857e-05,0.0038204072,1000.0,1.1890885
2013-03-31,5.6175813e-05,0.23793603,0.2854547728571429,285.5895428571429,835038.03,-4.861266685714286e-05,0.005105585714285714,1000.0,1.2379544
2013-04-07,5.472742807142858e-05,0.27541249714285715,0.2906033914285714,285.21300428571425,809934.6571428571,-5.8697523e-05,0.005793280385714286,1000.0,1.2756499
2013-04-21,2.4534498542857143e-05,0.22828062142857145,0.2744246257142857,284.27338285714285,1109859.357142857,-5.5668564571428564e-05,0.003235656171428572,1000.0,1.2826104
2013-04-28,1.414307567142857e-08,0.19881115285714285,0.2646961171428571,289.74426285714287,1194316.7714285715,-5.6201155000000004e-05,0.004140158557142857,1000.0,1.2739427
2013-05-05,5.025775533714286e-06,0.18594339285714284,0.2574740485714286,291.4924757142857,1178659.7142857143,-5.9988143857142855e-05,0.003519243685714286,1000.0,1.2715727
2013-05-12,8.598706128571428e-05,0.23863989142857142,0.2609008271428571,289.61573571428573,995043.8071428571,-7.742240314285714e-05,0.0062612822857142855,1000.0,1.2774698
2013-05-19,2.3790724114285715e-05,0.2035794214285714,0.25920957142857143,290.6860114285714,1141018.8857142858,-6.770827242857142e-05,0.0051650917,1000.0,1.2885605
2013-05-26,5.643024757142856e-07,0.1860061257142857,0.25138082285714286,288.48566857142856,1284327.7571428572,-5.816872814285714e-05,0.0035296366428571426,1000.0,1.302894
2013-06-02,1.637441870967143e-05,0.18746082714285714,0.24520106285714285,291.27281714285715,1167278.6585714286,-6.1743596e-05,0.005174934814285714,1000.0,1.3157936
2013-06-16,1.6894001700000002e-05,0.17341752571428573,0.23656098142857143,293.27103285714287,1264186.4428571428,-7.010991042857143e-05,0.005188955728571428,1000.0,1.3298252
2013-06-23,1.4408377821285714e-06,0.16150028142857145,0.2323077514285714,291.9958585714286,1275263.5428571429,-5.7923794428571423e-05,0.004471399985714286,1000.0,1.3414252
2013-06-30,4.353914644285714e-05,0.1840725314285714,0.22965141285714288,296.96376999999995,1050397.32,-6.156514428571429e-05,0.008322262271428571,1000.0,1.3561378
2013-07-07,1.7096317264985713e-05,0.17123577285714284,0.23053036857142858,300.5066228571428,1219077.1142857145,-7.555009771428573e-05,0.007597802714285715,1000.0,1.3655723
2013-07-14,3.238729700285714e-07,0.15758157,0.2267628114285714,297.6915942857143,1287368.4428571428,-6.587431957142858e-05,0.0052102727,1000.0,1.3622783
2013-07-21,7.736761574571427e-07,0.1538467742857143,0.22695671714285712,297.76358714285715,1271817.157142857,-6.626596771428572e-05,0.005748468114285714,1000.0,1.3540797
2013-07-28,1.5973943513142857e-05,0.15428607142857143,0.22167428285714283,299.0737314285715,1102690.5285714285,-5.998218942857143e-05,0.008321974457142858,1000.0,1.3417885
2013-08-11,5.099162998571428e-06,0.14998002571428573,0.21635908285714286,294.1934028571428,1178913.0714285714,-5.183632757142857e-05,0.006069737442857144,1000.0,1.3236057
2013-08-18,6.722375180714286e-07,0.14578853857142857,0.21460483285714285,296.4017271428571,1154607.0285714285,-4.9957473142857145e-05,0.005649967928571428,1000.0,1.3042563
2013-08-25,2.554317915714286e-05,0.15653232142857143,0.21257888428571428,295.96290142857146,1043505.217142857,-5.7666101142857144e-05,0.007332959628571429,1000.0,1.2854649
2013-09-01,2.9398791128857144e-06,0.1527588842857143,0.21100775142857145,295.7373685714286,1039081.9371428572,-4.409430342857143e-05,0.006936676357142858,1000.0,1.2496322
2013-09-08,1.99169058e-05,0.16401664714285716,0.20961129571428572,295.2478757142857,982400.7300000001,-4.821576085714286e-05,0.006982333442857143,1000.0,1.2029773
2013-09-15,2.8230686975714287e-06,0.15421283285714285,0.21529377142857142,295.1520428571429,943339.6314285714,-4.4561836571428575e-05,0.007066012928571429,1000.0,1.14734
2013-09-22,4.925663071057143e-05,0.15991397142857142,0.2138467914285714,290.5541728571429,868810.6457142857,-4.035348614285715e-05,0.0058941000571428575,1000.0,1.100153
2013-10-06,6.481314e-06,0.1696585357142857,0.21134765142857143,287.76234857142856,803875.5014285714,-2.8662699571428572e-05,0.004434385742857143,1000.0,1.0430129
2013-10-13,1.2344930214285713e-05,0.16105210714285714,0.2067804157142857,285.9394357142857,717590.2128571429,-2.3328581428571428e-05,0.004116399614285714,1000.0,0.9928402
2013-10-20,-5.321843285714286e-10,0.15970331142857144,0.2030883557142857,285.95792,731975.9500000001,-2.0127184285714285e-05,0.0034499877714285715,1000.0,0.9383251
2013-10-27,2.660921571428572e-10,0.14955210714285713,0.20439858428571428,286.9322071428572,671060.6085714286,-1.9757786714285718e-05,0.004002578442857143,1000.0,0.8894778
2013-11-03,6.104561775984286e-05,0.2076358857142857,0.20797609142857146,281.6060671428571,537036.5257142857,-2.2802587714285712e-05,0.004409857828571429,1000.0,0.8557913
2013-11-10,5.562351935571428e-07,0.20615464857142857,0.20944516714285716,282.73641285714285,552323.0628571429,-2.237882457142857e-05,0.0031849918571428574,1000.0,0.824013
2013-11-17,2.3614299893999997e-06,0.18484543285714286,0.2060572842857143,282.9549342857143,478617.7642857143,-1.5838182714285714e-05,0.0042012369142857145,1000.0,0.80830795
2013-12-01,4.0899059857142855e-07,0.24426353714285715,0.23098045571428574,279.69908,437126.62142857147,-1.6818804e-05,0.003955310328571429,1000.0,0.7836288
2013-12-08,0.00010324801891428572,0.24744534571428572,0.22867467428571428,273.62879857142855,394434.2357142857,-1.5240157571428571e-05,0.0026234003857142857,1000.0,0.7678909
2013-12-15,6.61793385e-08,0.26615208,0.23466403285714285,272.4432557142857,442755.1471428572,-1.5528931142857142e-05,0.0021593592,1000.0,0.7611223
2013-12-22,8.135843292942855e-06,0.2618452142857143,0.23779751714285716,277.7555357142857,389754.6257142857,-1.4012253142857142e-05,0.0031461267571428575,1000.0,0.76730466
2013-12-29,4.434037857142857e-08,0.25892553142857144,0.2389074,277.8160814285714,419107.0228571429,-1.3937772357142856e-05,0.003121740628571429,1000.0,0.75634885
2014-01-05,2.4292828185714284e-07,0.25910749,0.2446238542857143,278.5673614285714,432111.52142857143,-1.4250011214285715e-05,0.0030982926,1000.0,0.75504714
2014-01-12,1.880077314e-05,0.24712523142857143,0.24394118285714286,279.3366371428571,372595.0142857143,-1.2431037142857143e-05,0.004015580314285714,1000.0,0.75173867
2014-01-19,2.660921571428572e-10,0.24467123285714285,0.2443841342857143,279.44351714285716,497315.45285714284,-1.7369963285714286e-05,0.002842705114285714,1000.0,0.7489485
2014-01-26,7.048102871e-07,0.23812878714285715,0.24501591571428571,280.5603142857143,497015.1685714285,-1.8016920857142856e-05,0.002824355042857143,1000.0,0.74473464
2014-02-02,0.0001449563611,0.2624837428571429,0.2526234042857143,279.8720342857143,404568.21571428573,-1.85837029e-05,0.004277219642857143,1000.0,0.75521296
2014-02-16,8.708421243714285e-05,0.36068288000000004,0.32312651285714283,283.39491428571426,521442.29000000004,-4.079648971428572e-05,0.005625297071428571,1000.0,0.7916644
2014-02-23,2.902362747071428e-06,0.2994092285714286,0.3047643242857143,281.6369342857143,651909.4328571429,-4.045410357142857e-05,0.0040421779,1000.0,0.8518751
2014-03-02,0.0003463668143172286,0.32117522428571427,0.31073131142857147,282.67159142857145,507690.7642857143,-4.9568248571428574e-05,0.005266063228571429,1000.0,0.90493184
2014-03-09,0.00013207506519355715,0.36274872714285716,0.35110436142857143,283.95324142857146,635392.2914285715,-6.154188771428572e-05,0.005659778957142857,1000.0,0.9989697
2014-03-16,2.12403153e-05,0.2838249157142857,0.31267996857142855,284.50989714285714,853919.7528571428,-6.450036814285715e-05,0.0038147793857142855,1000.0,1.074474
2014-03-23,7.207604975142857e-07,0.22174219714285712,0.27850956285714284,284.4035957142857,924063.2871428571,-4.339993185714285e-05,0.0036399343999999998,1000.0,1.1422795
2014-03-30,0.000243745352,0.2552039585714286,0.27856422714285717,283.07788,725283.8771428572,-4.495130857142857e-05,0.004652396514285714,1000.0,1.2130636
2014-04-13,1.0030163805142857e-06,0.26255219428571425,0.2989011128571429,288.5611842857143,1064066.4857142859,-7.194956514285715e-05,0.005152797842857143,1000.0,1.2523319
2014-04-20,6.0967105714285715e-06,0.21753345857142858,0.2792674771428571,288.5671128571429,1111939.0057142857,-5.4543092285714284e-05,0.004721369414285714,1000.0,1.2518454
2014-04-27,0.00011209352409215714,0.2366185242857143,0.2730948642857143,284.21732857142854,902180.5257142857,-5.0714028857142854e-05,0.0041725453571428575,1000.0,1.2370278
2014-05-04,9.800091215714287e-08,0.23201726857142857,0.2715385771428572,289.7049057142857,1199535.5571428572,-6.602207671428572e-05,0.0038426937857142856,1000.0,1.219385
2014-05-11,4.235848500285714e-05,0.21794631714285714,0.25764418285714286,285.8783714285714,1080736.6714285715,-5.063261642857143e-05,0.004594405528571428,1000.0,1.2099345
2014-05-18,3.075360142857143e-07,0.1979817842857143,0.24934412285714286,292.4466857142857,1247401.5,-5.9119697714285714e-05,0.0033048033142857145,1000.0,1.2029314
2014-05-25,5.1334270150000006e-05,0.20801530285714284,0.24132266142857145,289.8617385714286,1128270.0157142857,-6.172651942857143e-05,0.005670892528571428,1000.0,1.2088205
2014-06-08,1.0567601215714285e-07,0.16949212857142856,0.23707834428571428,294.8283457142857,1310379.0857142857,-5.6266219e-05,0.004453273657142857,1000.0,1.215944
2014-06-15,5.236693828571429e-07,0.15870148428571426,0.23387987142857142,295.09439428571426,1292815.5285714285,-5.3088989285714285e-05,0.0045560475,1000.0,1.2321137
2014-06-22,5.116342715685715e-06,0.15525057142857143,0.22728796999999998,292.93521285714286,1308071.4428571428,-4.934804842857143e-05,0.0036955365142857144,1000.0,1.2410069
2014-06-29,5.567220596442856e-06,0.1543942257142857,0.22634532714285713,294.48899857142857,1232546.9428571428,-4.7144190285714284e-05,0.0058811241428571425,1000.0,1.2585194
2014-07-06,9.325837188571428e-08,0.15366062,0.22610496,298.60400857142855,1297410.2714285715,-5.393836042857143e-05,0.005298414514285714,1000.0,1.2582254
2014-07-13,4.369657533999999e-06,0.16215925142857143,0.23086567285714285,298.09305428571423,1196749.2571428572,-6.0594492142857143e-05,0.006566387585714285,1000.0,1.2592086
2014-07-20,3.027313642281428e-05,0.16569676571428568,0.2281789957142857,298.2734557142857,1087972.5342857144,-5.7368564857142854e-05,0.009042681142857143,1000.0,1.2510464
2014-08-03,1.659114969e-05,0.16560694428571426,0.22736920857142856,299.01111,1049811.3,-5.5415063142857144e-05,0.006977039571428571,1000.0,1.2366391
2014-08-10,6.055475821428571e-05,0.2069004,0.23388891857142857,295.62868285714285,994207.3871428572,-7.362131785714286e-05,0.008400421214285714,1000.0,1.2215478
2014-08-17,7.787084533985714e-06,0.17646381714285717,0.23142449999999998,296.00079142857146,1135522.6285714286,-5.618402028571428e-05,0.006638076257142857,1000.0,1.2011453
2014-08-24,5.852517003142857e-07,0.15656972285714285,0.22573919142857143,295.1232885714286,1113186.1,-4.022720257142858e-05,0.0065429929999999996,1000.0,1.1802812
2014-08-31,1.1704604589714286e-06,0.15318263285714284,0.22195305285714287,295.55846142857143,1047785.4057142857,-3.723737428571428e-05,0.006318731128571428,1000.0,1.1575142
2014-09-07,1.6155882044285715e-07,0.1444407285714286,0.21958910714285712,295.8674771428572,1052526.0842857142,-3.262005785714286e-05,0.005622284414285714,1000.0,1.1268243
2014-09-14,7.528564965e-07,0.14336409857142857,0.2196603657142857,295.6247414285714,972508.3585714286,-3.312943814285715e-05,0.005039182814285714,1000.0,1.0923864
2014-09-28,7.493027012498571e-05,0.17475233142857144,0.2132917342857143,290.70888142857143,727323.1028571428,-3.097272128571428e-05,0.007186422685714286,1000.0,1.0544486
2014-10-05,2.7241816445428575e-06,0.2073151185714286,0.21796966857142858,290.59587999999997,833535.8514285714,-4.013903e-05,0.0052643038,1000.0,1.0146633
2014-10-12,3.319915442857143e-09,0.15961063142857143,0.2141815314285714,292.0412714285714,781442.9257142858,-2.481200685714286e-05,0.0047696701,1000.0,0.97233224
2014-10-19,1.129596962212857e-05,0.15877401285714285,0.20953507000000002,289.02906285714283,661952.8485714284,-1.8371989714285716e-05,0.005304205914285714,1000.0,0.9220793
2014-10-26,4.554950142857143e-05,0.1761875914285714,0.2117649542857143,287.2383142857143,589471.5842857143,-2.098181e-05,0.005450427471428571,1000.0,0.88013494
2014-11-02,0.0001707511941519857,0.2332563442857143,0.23549858285714284,284.6574685714286,532329.3842857142,-2.913669185714286e-05,0.0049118291857142855,1000.0,0.8406993
2014-11-09,3.724042961428571e-08,0.29845965714285716,0.27943544,283.8997257142857,560240.3914285714,-4.3652205285714285e-05,0.005252329914285715,1000.0,0.816979
2014-11-23,8.586724919355714e-05,0.27637287,0.27498289857142855,280.9263128571428,349475.2528571429,-2.738851957142857e-05,0.004575524285714286,1000.0,0.79129076
2014-11-30,7.712152083285716e-05,0.28036982714285713,0.28264305,281.78042571428574,404289.0142857143,-2.7692221428571427e-05,0.0041895346,1000.0,0.7982823
